full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
The|kind|grandmother|told|stories|while|she,0.37,peele,4.2,0.8366600265340756,strong CoRT,knitted,safe,7,low cloze,,,,,,,,,,,,,,,,,
The|lawyer|shredded|the|contract|after|it|was|declared,0.49,peele,4.4,0.8944271909999159,strong CoRT,void,mess,9,low cloze,,,,,,,,,,,,,,,,,
The|little|puppy|outside|the|house|started|to,0.36,peele,4.333333333333333,0.5163977794943221,strong CoRT,bark,mud,8,low cloze,,,,,,,,,,,,,,,,,
The|man's|girlfriend|shrieked|when|he|showed|her|the,0.44,peele,4.5,1.0,strong CoRT,ring,cub,9,low cloze,,,,,,,,,,,,,,,,,
The|mother|caressed|her|baby|in|an|attempt|to,0.5,peele,4.333333333333333,0.5163977794943224,strong CoRT,soothe,play,9,low cloze,,,,,,,,,,,,,,,,,
The|once|firm|chocolate|pudding|had|turned|into,0.49,peele,4.25,0.9574271077563382,strong CoRT,mush,food,8,low cloze,,,,,,,,,,,,,,,,,
The|passenger|kept|yelling|at|the|driver|to|turn,0.49,peele,4.0,0.7071067811865476,strong CoRT,left,find,9,low cloze,,,,,,,,,,,,,,,,,
The|pianist|was|embarrassed|she|had|played|the|wrong,0.5,peele,4.4,0.8944271909999159,strong CoRT,note,voice,9,low cloze,,,,,,,,,,,,,,,,,
The|pitbull|was|so|strong|that|he|snapped|the,0.31,peele,4.4,0.547722557505166,strong CoRT,leash,house,9,low cloze,,,,,,,,,,,,,,,,,
The|rambunctious|dog|pulled|and|tugged|against|the,0.49,peele,5.0,0.0,strong CoRT,leash,set,8,low cloze,,,,,,,,,,,,,,,,,
The|road|glistened|when|it|was|covered|in,0.36,peele,4.0,1.0,strong CoRT,ice,cot,8,low cloze,,,,,,,,,,,,,,,,,
The|sailors|gazed|into|the|distance|at|the|beautiful,0.49,peele,4.0,0.7071067811865476,strong CoRT,sunset,fame,9,low cloze,,,,,,,,,,,,,,,,,
The|sight|of|the|vomit|caused|Courtney|to,0.34,peele,4.5,1.0,strong CoRT,gag,face,8,low cloze,,,,,,,,,,,,,,,,,
The|stench|of|the|dumpster|made|the|passerby,0.35,peele,4.5,0.5773502691896258,strong CoRT,gag,hive,8,low cloze,,,,,,,,,,,,,,,,,
"The|street|was|flooded,|because|there|was|a|broken",0.5,peele,4.2,1.095445115010332,strong CoRT,pipe,water,9,low cloze,,,,,,,,,,,,,,,,,
