full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
"Respect,|riches,|and|fame|were|what|the|knight",0.41,peele,1.0,0.0,strong non-CoRT,wanted,moose,8,low cloze,,,,,,,,,,,,,,,,,
"Roger|couldn't|whistle|yet,|as|he|was|just|a",0.33,peele,1.1666666666666667,0.40824829046386296,strong non-CoRT,baby,fun,9,low cloze,,,,,,,,,,,,,,,,,
Sandra|was|cast|in|the|school|production|as|the,0.49,peele,1.8,0.8366600265340756,strong non-CoRT,lead,lit,9,low cloze,,,,,,,,,,,,,,,,,
Sara|and|Tom|were|brought|together|by,0.41,peele,2.0,0.8164965809277259,strong non-CoRT,fate,number,7,low cloze,,,,,,,,,,,,,,,,,
Sara|couldn't|wait|for|her|trip|to|the,0.31,peele,1.75,0.9574271077563382,strong non-CoRT,zoo,lease,8,low cloze,,,,,,,,,,,,,,,,,
She|bought|the|pants|only|because|they|were,0.48,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,cheap,fire,8,low cloze,,,,,,,,,,,,,,,,,
She|hated|hard|chairs|and|she|wanted|a,0.32,peele,2.0,1.4142135623730951,strong non-CoRT,cushion,spot,8,low cloze,,,,,,,,,,,,,,,,,
She|learned|that|the|waves|depended|on|the,0.36,peele,1.4,0.5477225575051661,strong non-CoRT,moon,vase,8,low cloze,,,,,,,,,,,,,,,,,
Sinclair|likes|skateboarding|because|it|gives|him|a,0.5,peele,1.75,1.5,strong non-CoRT,rush,nail,8,low cloze,,,,,,,,,,,,,,,,,
"Terry|wanted|to|skip|school,|but|she|wouldn't",0.43,peele,1.5,0.5773502691896257,strong non-CoRT,dare,heart,8,low cloze,,,,,,,,,,,,,,,,,
That|many|seeds|can|take|several|days|to,0.32,peele,2.0,0.8164965809277259,strong non-CoRT,germinate,ghost,8,low cloze,,,,,,,,,,,,,,,,,
The|aroma|of|sugar|cookies|filled|the,0.45,peele,2.0,1.224744871391589,strong non-CoRT,air,deck,7,low cloze,,,,,,,,,,,,,,,,,
The|artist|loved|his|painting|and|knew|it|was,0.37,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,good,nets,9,low cloze,,,,,,,,,,,,,,,,,
The|athlete|often|got|into|fights|with|his,0.38,peele,2.0,0.8164965809277259,strong non-CoRT,coach,back,8,low cloze,,,,,,,,,,,,,,,,,
The|avocado|wasn't|ready|as|it|was|still|too,0.43,peele,2.0,1.0,strong non-CoRT,hard,pudding,9,low cloze,,,,,,,,,,,,,,,,,
The|baker|got|bored|waiting|for|the|pudding|to,0.5,peele,2.0,1.224744871391589,strong non-CoRT,set,food,9,low cloze,,,,,,,,,,,,,,,,,
The|best|way|to|travel|at|sea|is|to,0.43,peele,1.5,0.5773502691896257,strong non-CoRT,sail,milk,9,low cloze,,,,,,,,,,,,,,,,,
The|blanket|looked|like|something|a|child|had,0.44,peele,1.4,0.8944271909999159,strong non-CoRT,made,shark,8,low cloze,,,,,,,,,,,,,,,,,
The|boy's|mother|said|the|punishment|was|for|his,0.37,peele,2.0,0.8164965809277259,strong non-CoRT,behavior,eyes,9,low cloze,,,,,,,,,,,,,,,,,
The|boys|already|knew|it|was|wrong|to,0.39,peele,1.4,0.5477225575051662,strong non-CoRT,steal,nap,8,low cloze,,,,,,,,,,,,,,,,,
The|car|was|similar|but|it|was|a|different,0.4,peele,1.4,0.8944271909999159,strong non-CoRT,model,sails,9,low cloze,,,,,,,,,,,,,,,,,
The|cheerleaders|were|part|of|the|popular,0.48,block_baldwin,1.1666666666666667,0.40824829046386296,strong non-CoRT,crowd,run,7,low cloze,,,,,,,,,,,,,,,,,
The|chickens|hated|when|they|were|put|in|their,0.42,peele,2.0,1.4142135623730951,strong non-CoRT,coop,scam,9,low cloze,,,,,,,,,,,,,,,,,
The|color|of|the|shirt's|fabric|was|a|beautiful,0.35,peele,1.2,0.4472135954999579,strong non-CoRT,blue,quickly,9,low cloze,,,,,,,,,,,,,,,,,
The|company|boss|was|suspicious|there|was|a,0.32,peele,2.0,1.1547005383792517,strong non-CoRT,thief,boat,8,low cloze,,,,,,,,,,,,,,,,,
The|confident|man|believed|he|was|right|without|a,0.49,peele,1.75,0.5,strong non-CoRT,doubt,wrong,9,low cloze,,,,,,,,,,,,,,,,,
The|curious|child|wanted|to|touch|the|tree,0.38,peele,1.6666666666666667,1.1547005383792517,strong non-CoRT,trunk,rub,8,low cloze,,,,,,,,,,,,,,,,,
The|designer|couldn't|decide|which|picture|to,0.33,peele,1.5,1.0,strong non-CoRT,use,grow,7,low cloze,,,,,,,,,,,,,,,,,
The|details|surrounding|the|crime|were|extremely,0.4,peele,1.25,0.5,strong non-CoRT,vague,club,7,low cloze,,,,,,,,,,,,,,,,,
The|driver|was|concerned|about|the|heavy,0.36,peele,1.2,0.4472135954999579,strong non-CoRT,load,dyes,7,low cloze,,,,,,,,,,,,,,,,,
The|employee|always|forgot|to|wear|her,0.33,peele,2.0,1.4142135623730951,strong non-CoRT,badge,mate,7,low cloze,,,,,,,,,,,,,,,,,
The|family's|couch|and|TV|were|both|in|the,0.36,peele,2.0,1.2649110640673518,strong non-CoRT,room,try,9,low cloze,,,,,,,,,,,,,,,,,
The|fashionista's|favorite|thing|to|do|was,0.5,peele,2.0,1.4142135623730951,strong non-CoRT,shop,meat,7,low cloze,,,,,,,,,,,,,,,,,
The|first|animal|sound|Jackie|learned|was|for|a,0.4,peele,1.5,0.8366600265340756,strong non-CoRT,cow,shirt,9,low cloze,,,,,,,,,,,,,,,,,
The|fisherman|was|interested|in|buying|a|new,0.47,peele,2.0,0.8164965809277259,strong non-CoRT,boat,learn,8,low cloze,,,,,,,,,,,,,,,,,
The|friends|aren't|currently|speaking|because|of|their,0.4,peele,2.0,1.224744871391589,strong non-CoRT,fight,door,8,low cloze,,,,,,,,,,,,,,,,,
The|grandfather's|estate|was|divided|among|his,0.32,peele,1.75,1.5,strong non-CoRT,heirs,party,7,low cloze,,,,,,,,,,,,,,,,,
The|group's|mistakes|made|the|entire|heist|a,0.34,peele,2.0,0.7071067811865476,strong non-CoRT,failure,laugh,8,low cloze,,,,,,,,,,,,,,,,,
The|hotel|shower|had|everything|he|needed|except,0.44,peele,1.8,0.8366600265340756,strong non-CoRT,soap,pinch,8,low cloze,,,,,,,,,,,,,,,,,
The|ice|cream|cone|had|a|hard|chocolate,0.46,peele,1.8,1.3038404810405295,strong non-CoRT,shell,splash,8,low cloze,,,,,,,,,,,,,,,,,
The|little|girl|thought|that|the|brussel|sprouts|were,0.36,peele,2.0,0.7071067811865476,strong non-CoRT,gross,price,9,low cloze,,,,,,,,,,,,,,,,,
The|man|read|a|book|while|his|wife,0.35,peele,1.25,0.5,strong non-CoRT,slept,learn,8,low cloze,,,,,,,,,,,,,,,,,
The|manager|thought|Cheryl|was|the|right|person|to,0.42,peele,1.5,0.5773502691896257,strong non-CoRT,hire,water,9,low cloze,,,,,,,,,,,,,,,,,
The|politicians|were|trying|to|avoid|a|full|out,0.47,peele,2.0,2.0,strong non-CoRT,war,peeve,9,low cloze,,,,,,,,,,,,,,,,,
The|poor|dog|lost|its|hair|except|for|one,0.34,peele,2.0,0.8164965809277259,strong non-CoRT,patch,love,9,low cloze,,,,,,,,,,,,,,,,,
