,display,break,index,full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
39,trial,,38.0,Patrick|did|not|think|Kayla|was|worth|fighting,0.8,peele,1.4,0.5477225575051661,strong non-CoRT,for,music,8.0,high cloze,easy,True,False,music,right,0.5,307.5,7.0,1.0,1.0,500.0,7000.0,1.0
40,trial,,39.0,Sally|heard|that|our|new|teacher|was|impossible|to,0.48,peele,1.2,0.4472135954999579,strong non-CoRT,please,joke,9.0,low cloze,hard,False,True,please,right,0.5,435.0,7.0,1.0,1.0,500.0,7000.0,1.0
41,trial,,40.0,After|the|recital|she|faced|the|audience|and|took|a,0.89,block_baldwin,4.142857142857143,1.0690449676496976,strong CoRT,bow,float,10.0,high cloze,easy,True,False,float,right,0.5,30.0,7.0,1.0,1.0,500.0,7000.0,1.0
42,trial,,41.0,Kennedy|told|her|mom|she|felt|stuck|in|a,0.87,peele,2.0,1.0,strong non-CoRT,rut,dive,9.0,high cloze,easy,False,True,rut,right,0.5,285.0,7.0,1.0,1.0,500.0,7000.0,1.0
43,trial,,42.0,"After|driving|over|sharp|glass,|Ronald|had|a|flat",1.0,peele,4.4,0.8944271909999159,strong CoRT,tire,loan,9.0,high cloze,easy,False,True,tire,right,0.5,22.5,7.0,1.0,1.0,500.0,7000.0,1.0
44,trial,,43.0,It|was|announced|the||two|companies|would,0.96,peele,1.25,0.5,strong non-CoRT,merge,cry,8.0,high cloze,easy,False,True,merge,right,0.5,292.5,7.0,1.0,1.0,500.0,7000.0,1.0
45,trial,,44.0,During|the|holidays|it|is|every|expensive|to|book|a,0.81,block_baldwin,1.8571428571428568,0.8997354108424375,strong non-CoRT,flight,meditate,10.0,high cloze,easy,True,False,meditate,right,0.5,277.5,7.0,1.0,1.0,500.0,7000.0,1.0
46,trial,,45.0,After|the|engine|took|on|water|the|car|began|to,0.37,block_baldwin,4.0,0.6324555320336759,strong CoRT,stall,mop,10.0,low cloze,hard,True,False,mop,right,0.5,150.0,7.0,1.0,1.0,500.0,7000.0,1.0
47,trial,,46.0,To|enter|the|castle|she|rode|across|a,0.4,peele,4.5,0.5773502691896257,strong CoRT,bridge,fit,8.0,low cloze,hard,False,True,bridge,right,0.5,195.0,7.0,1.0,1.0,500.0,7000.0,1.0
48,trial,,47.0,France|is|a|country|that|is|famous|for,0.31,peele,2.0,1.7320508075688772,strong non-CoRT,wine,cave,8.0,low cloze,hard,False,True,wine,right,0.5,382.5,7.0,1.0,1.0,500.0,7000.0,1.0
49,trial,,48.0,Tammy|was|not|a|gambler|because|she|had|bad,0.86,block_baldwin,1.8571428571428568,1.4638501094227998,strong non-CoRT,luck,cut,9.0,high cloze,easy,False,True,luck,right,0.5,352.5,7.0,1.0,1.0,500.0,7000.0,1.0
50,trial,,49.0,"Instead|of|buying|a|new|phone,|Shannon|replaced|the",0.36,peele,4.25,0.5,strong CoRT,battery,fool,9.0,low cloze,hard,True,False,fool,right,0.5,157.5,7.0,1.0,1.0,500.0,7000.0,1.0
51,trial,,50.0,His|car|is|huge|so|it's|too|heavy|to,0.44,peele,2.0,1.224744871391589,strong non-CoRT,push,cold,9.0,low cloze,hard,False,True,push,right,0.5,420.0,7.0,1.0,1.0,500.0,7000.0,1.0
52,trial,,51.0,"Tired|of|beige|walls,|Ingrid|painted|them|a|bold",0.38,peele,4.4,0.8944271909999159,strong CoRT,red,chirp,9.0,low cloze,hard,False,True,red,right,0.5,232.5,7.0,1.0,1.0,500.0,7000.0,1.0
53,trial,,52.0,Weddings|bring|out|excitement|and|general|feelings|of,0.34,peele,1.1666666666666667,0.40824829046386296,strong non-CoRT,joy,bully,8.0,low cloze,hard,False,True,joy,right,0.5,367.5,7.0,1.0,1.0,500.0,7000.0,1.0
54,trial,,53.0,The|new|family|enclosed|their|yard|with|a,0.97,peele,1.75,0.957427107756338,strong non-CoRT,fence,mountain,8.0,high cloze,easy,False,True,fence,right,0.5,255.0,7.0,1.0,1.0,500.0,7000.0,1.0
55,trial,,54.0,The|boat|passed|easily|under|the,0.89,block_baldwin,4.0,1.4142135623730951,strong CoRT,bridge,lodge,6.0,high cloze,easy,False,True,bridge,right,0.5,52.5,7.0,1.0,1.0,500.0,7000.0,1.0
56,trial,,55.0,The|company|said|they|were|looking|to,0.37,peele,1.25,0.5,strong non-CoRT,hire,leak,7.0,low cloze,hard,False,True,hire,right,0.5,472.5,7.0,1.0,1.0,500.0,7000.0,1.0
57,trial,,56.0,He|loosened|the|tie|around|his,0.97,block_baldwin,4.428571428571429,1.5118578920369088,strong CoRT,neck,win,6.0,high cloze,easy,False,True,neck,right,0.5,82.5,7.0,1.0,1.0,500.0,7000.0,1.0
58,trial,,57.0,A|stray|baseball|smacked|an|unsuspecting|walker|in|the,0.45,peele,4.2,0.8366600265340756,strong CoRT,head,queen,9.0,low cloze,hard,False,True,head,right,0.5,135.0,7.0,1.0,1.0,500.0,7000.0,1.0
59,trial,,58.0,The|woman’s|shirt|was|so|worn|it|had|a,0.86,block_baldwin,1.5714285714285714,1.5118578920369092,strong non-CoRT,hole,pencil,9.0,high cloze,easy,False,True,hole,right,0.5,322.5,7.0,1.0,1.0,500.0,7000.0,1.0
60,trial,,59.0,"When|the|robber|trapped|Dorothy,|she|began|to",0.37,peele,4.333333333333333,0.8164965809277259,strong CoRT,cry,glass,8.0,low cloze,hard,False,True,cry,right,0.5,165.0,7.0,1.0,1.0,500.0,7000.0,1.0
61,trial,,60.0,"Due|to|the|film's|sad|ending,|Lia|began|to",0.86,peele,4.166666666666667,1.3291601358251257,strong CoRT,cry,scam,9.0,high cloze,easy,False,True,cry,right,0.5,60.0,7.0,1.0,1.0,500.0,7000.0,1.0
62,trial,,61.0,The|elementary|school|girl|loved|to|hula,0.83,peele,1.8,0.8366600265340756,strong non-CoRT,hoop,soon,7.0,high cloze,easy,False,True,hoop,right,0.5,337.5,7.0,1.0,1.0,500.0,7000.0,1.0
63,trial,,62.0,Dean|dropped|the|cookies|and|had|to|make|a|fresh,0.95,peele,4.8,0.4472135954999579,strong CoRT,batch,gap,10.0,high cloze,easy,False,True,batch,right,0.5,112.5,7.0,1.0,1.0,500.0,7000.0,1.0
