,display,break,index,full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms
2,trial,,2.0,The|woman|applied|concealer|with|a|gentle,0.35,peele,4.8,0.4472135954999581,strong CoRT,touch,walk,7.0,low cloze,hard,False,touch,right,0.5,232.5,7.0,1.0,4.0,500.0,7000.0
3,trial,,3.0,"Terry|wanted|to|skip|school,|but|she|wouldn't",0.43,peele,1.5,0.5773502691896257,strong non-CoRT,dare,heart,8.0,low cloze,hard,True,heart,right,0.5,457.5,7.0,1.0,4.0,500.0,7000.0
4,trial,,4.0,Mike|exited|the|shower|and|quickly|put|on|his,0.44,peele,4.8,0.4472135954999581,strong CoRT,robe,wash,9.0,low cloze,hard,False,robe,right,0.5,172.5,7.0,1.0,4.0,500.0,7000.0
5,trial,,5.0,The|baseball|player’s|cap|protected|him|from|the,0.74,block_baldwin,1.3333333333333333,0.5163977794943222,strong non-CoRT,sun,blast,8.0,high cloze,easy,False,sun,right,0.5,345.0,7.0,1.0,4.0,500.0,7000.0
6,trial,,6.0,The|boy's|mother|said|the|punishment|was|for|his,0.37,peele,2.0,0.8164965809277259,strong non-CoRT,behavior,eyes,9.0,low cloze,hard,True,eyes,right,0.5,420.0,7.0,1.0,4.0,500.0,7000.0
7,trial,,7.0,The|knight|readied|for|battle|and|drew|his,0.91,block_baldwin,4.142857142857143,1.4638501094227998,strong CoRT,sword,act,8.0,high cloze,easy,False,sword,right,0.5,75.0,7.0,1.0,4.0,500.0,7000.0
8,trial,,8.0,The|toddler|joined|the|puppy|in|playing,0.36,peele,4.2,1.095445115010332,strong CoRT,fetch,wrong,7.0,low cloze,hard,False,fetch,right,0.5,210.0,7.0,1.0,4.0,500.0,7000.0
9,trial,,9.0,David's|shirt|was|such|a|boring|shade|of,0.33,peele,2.0,1.4142135623730951,strong non-CoRT,gray,bun,8.0,low cloze,hard,False,gray,right,0.5,472.5,7.0,1.0,4.0,500.0,7000.0
10,trial,,10.0,Jane|fried|some|bacon|in|the,0.86,block_baldwin,4.142857142857143,1.4638501094227998,strong CoRT,pan,gag,6.0,high cloze,easy,True,gag,right,0.5,22.5,7.0,1.0,4.0,500.0,7000.0
11,trial,,11.0,The|business|owner|was|scared|that|his|business|would,0.77,peele,1.8,0.8366600265340756,strong non-CoRT,fail,hoop,9.0,high cloze,easy,True,hoop,right,0.5,300.0,7.0,1.0,4.0,500.0,7000.0
12,trial,,12.0,Success|if|often|just|a|matter|of|hard,0.93,block_baldwin,1.4285714285714286,1.1338934190276817,strong non-CoRT,work,fake,8.0,high cloze,easy,False,work,right,0.5,315.0,7.0,1.0,4.0,500.0,7000.0
13,trial,,13.0,The|woman’s|shirt|was|so|worn|it|had|a,0.86,block_baldwin,1.5714285714285714,1.5118578920369092,strong non-CoRT,hole,pencil,9.0,high cloze,easy,False,hole,right,0.5,322.5,7.0,1.0,4.0,500.0,7000.0
14,trial,,14.0,"A|natural|leader,|Eve|was|a|great|hospital",0.31,peele,1.8,1.7888543819998317,strong non-CoRT,administrator,tub,8.0,low cloze,hard,True,tub,right,0.5,390.0,7.0,1.0,4.0,500.0,7000.0
15,trial,,15.0,"The|sweet|grandmother|called|her|helpful,|younger|neighbor",0.31,peele,4.0,1.4142135623730951,strong CoRT,over,laugh,8.0,low cloze,hard,False,over,right,0.5,157.5,7.0,1.0,4.0,500.0,7000.0
16,trial,,16.0,It|is|important|not|to|donate|to|a,0.39,peele,1.75,0.957427107756338,strong non-CoRT,scam,sin,8.0,low cloze,hard,True,sin,right,0.5,367.5,7.0,1.0,4.0,500.0,7000.0
17,trial,,17.0,"Annabelle|was|so|angry,|she|began|to",0.37,peele,4.166666666666667,1.3291601358251257,strong CoRT,cry,watch,7.0,low cloze,hard,True,watch,right,0.5,127.5,7.0,1.0,4.0,500.0,7000.0
18,trial,,18.0,He|slept|so|soundly|that|he|was|impossible|to,0.71,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,wake,noise,9.0,high cloze,easy,True,noise,right,0.5,255.0,7.0,1.0,4.0,500.0,7000.0
19,trial,,19.0,He|used|his|skateboard|to|grind|along|the,0.38,peele,4.5,0.5773502691896257,strong CoRT,rails,kill,8.0,low cloze,hard,False,rails,right,0.5,180.0,7.0,1.0,4.0,500.0,7000.0
20,trial,,20.0,They|threw|eggs|at|Barry|but|he|knew|to,0.75,peele,4.75,0.5,strong CoRT,duck,mud,9.0,high cloze,easy,False,duck,right,0.5,45.0,7.0,1.0,4.0,500.0,7000.0
21,trial,,21.0,"During|the|earthquake,|many|of|the|small|buildings",0.39,peele,4.0,0.0,strong CoRT,collapsed,fit,8.0,low cloze,hard,True,fit,right,0.5,187.5,7.0,1.0,4.0,500.0,7000.0
22,trial,,22.0,The|impatient|man|kept|glancing|at|his,0.94,peele,4.0,0.8164965809277259,strong CoRT,watch,run,7.0,high cloze,easy,False,watch,right,0.5,15.0,7.0,1.0,4.0,500.0,7000.0
23,trial,,23.0,"Distracted|while|driving,|Maya|got|stuck|in|the|sticky",0.46,peele,4.0,1.224744871391589,strong CoRT,mud,sunset,9.0,low cloze,hard,False,mud,right,0.5,142.5,7.0,1.0,4.0,500.0,7000.0
24,trial,,24.0,Sally|heard|that|our|new|teacher|was|impossible|to,0.48,peele,1.2,0.4472135954999579,strong non-CoRT,please,joke,9.0,low cloze,hard,False,please,right,0.5,412.5,7.0,1.0,4.0,500.0,7000.0
25,trial,,25.0,"Although|some|knives|were|sharp,|others|were|very",0.98,peele,2.0,1.4142135623730951,strong non-CoRT,dull,reach,8.0,high cloze,easy,True,reach,right,0.5,330.0,7.0,1.0,4.0,500.0,7000.0
26,trial,,26.0,A|Dalmatian|dog|is|recognized|by|its|black|and|white,0.84,block_baldwin,1.1666666666666667,0.40824829046386296,strong non-CoRT,spots,fate,10.0,high cloze,easy,False,spots,right,0.5,240.0,7.0,1.0,4.0,500.0,7000.0
27,trial,,27.0,Out|of|the|brown|egg|hatched|a|tiny|yellow,0.71,peele,4.833333333333333,0.4082482904638631,strong CoRT,chick,fire,9.0,high cloze,easy,False,chick,right,0.5,30.0,7.0,1.0,4.0,500.0,7000.0
28,trial,,28.0,His|boss|refused|to|give|him|a|,0.87,block_baldwin,1.8571428571428568,0.6900655593423541,strong non-CoRT,raise,test,8.0,high cloze,easy,False,raise,right,0.5,247.5,7.0,1.0,4.0,500.0,7000.0
29,trial,,29.0,The|thief|drove|around|looking|for|a|house|to,0.91,peele,4.0,0.8164965809277259,strong CoRT,rob,pet,9.0,high cloze,easy,True,pet,right,0.5,0.0,7.0,1.0,4.0,500.0,7000.0
30,trial,,30.0,"Satisfied|with|his|dinner,|Harold|let|out|a|huge",0.36,peele,4.5,0.5773502691896257,strong CoRT,burp,joke,9.0,low cloze,hard,False,burp,right,0.5,195.0,7.0,1.0,4.0,500.0,7000.0
31,trial,,31.0,"Before|opening|the|gate,|Jim|lifted|the",0.75,peele,4.0,1.4142135623730951,strong CoRT,latch,made,7.0,high cloze,easy,True,made,right,0.5,37.5,7.0,1.0,4.0,500.0,7000.0
32,trial,,32.0,They|didn't|agree|with|the|concepts|the|school,0.48,peele,1.2,0.4472135954999579,strong non-CoRT,taught,gamegoal,8.0,low cloze,hard,False,taught,right,0.5,465.0,7.0,1.0,4.0,500.0,7000.0
33,trial,,33.0,Ivan|did|not|know|the|time|since|his|watch,0.76,block_baldwin,1.6666666666666667,0.8164965809277259,strong non-CoRT,broke,contract,9.0,high cloze,easy,False,broke,right,0.5,337.5,7.0,1.0,4.0,500.0,7000.0
34,trial,,34.0,It|was|so|sunny|Kevin|needed|a,0.71,peele,2.0,1.1547005383792517,strong non-CoRT,hat,nut,7.0,high cloze,easy,False,hat,right,0.5,277.5,7.0,1.0,4.0,500.0,7000.0
35,trial,,35.0,All|of|the|wet|paper|had|rolled|into|a,0.73,peele,1.6,0.8944271909999159,strong non-CoRT,ball,sake,9.0,high cloze,easy,False,ball,right,0.5,307.5,7.0,1.0,4.0,500.0,7000.0
36,trial,,36.0,The|chickens|hated|when|they|were|put|in|their,0.42,peele,2.0,1.4142135623730951,strong non-CoRT,coop,scam,9.0,low cloze,hard,False,coop,right,0.5,427.5,7.0,1.0,4.0,500.0,7000.0
37,trial,,37.0,The|toddler|covered|the|walls|with|her|mother's,0.48,peele,4.5,0.5773502691896257,strong CoRT,lipstick,mob,8.0,low cloze,hard,False,lipstick,right,0.5,135.0,7.0,1.0,4.0,500.0,7000.0
38,trial,,38.0,The|baby's|ice|cream|was|snatched|up|by|the,0.47,peele,4.5,0.5773502691896257,strong CoRT,dog,time,9.0,low cloze,hard,False,dog,right,0.5,165.0,7.0,1.0,4.0,500.0,7000.0
39,trial,,39.0,The|mother|caressed|her|baby|in|an|attempt|to,0.5,peele,4.333333333333333,0.5163977794943224,strong CoRT,soothe,play,9.0,low cloze,hard,False,soothe,right,0.5,150.0,7.0,1.0,4.0,500.0,7000.0
40,trial,,40.0,All|the|professional|athlete|wanted|was|a|back,0.38,peele,2.0,1.0,strong non-CoRT,rub,tent,8.0,low cloze,hard,False,rub,right,0.5,382.5,7.0,1.0,4.0,500.0,7000.0
41,trial,,41.0,"Exiting|the|pool,|the|children|were|so|cold|they",0.87,peele,4.4,0.5477225575051661,strong CoRT,shivered,hurt,9.0,high cloze,easy,False,shivered,right,0.5,7.5,7.0,1.0,4.0,500.0,7000.0
42,trial,,42.0,After|raking|the|yard|Pat|jumped|into|the|pile|of,0.92,block_baldwin,4.571428571428571,0.7867957924694431,strong CoRT,leaves,tag,10.0,high cloze,easy,False,leaves,right,0.5,82.5,7.0,1.0,4.0,500.0,7000.0
